Date,Open,High,Low,Close,Adj Close,Volume
2017-06-08,9.580000,9.580000,9.570000,9.580000,9.261440,1775
2017-06-09,9.500000,9.770000,9.500000,9.760000,9.435454,14216
2017-06-12,9.700000,9.770000,9.700000,9.770000,9.445123,7000
2017-06-13,9.770000,9.770000,9.710000,9.710000,9.387116,1350
2017-06-14,9.780000,9.780000,9.710000,9.710000,9.387116,1400
2017-06-15,9.700000,9.800000,9.700000,9.750000,9.425787,5809
2017-06-16,9.820000,10.100000,9.820000,9.990000,9.657805,16149
2017-06-19,10.000000,10.200000,10.000000,10.200000,9.860824,7854
2017-06-20,10.200000,10.300000,10.100000,10.200000,9.860824,1164
2017-06-21,10.400000,10.500000,10.400000,10.500000,10.150846,6612
2017-06-22,10.500000,10.500000,10.300000,10.400000,10.054172,1203
2017-06-26,10.400000,10.500000,9.900000,10.100000,9.764149,7493
2017-06-27,10.100000,10.100000,9.950000,9.950000,9.619136,1180
2017-06-28,9.950000,10.000000,9.950000,10.000000,9.667474,381
2017-06-29,10.100000,10.100000,10.000000,10.000000,9.667474,7247
2017-06-30,10.000000,10.000000,9.960000,10.000000,9.667474,5711
2017-07-03,10.200000,10.300000,10.100000,10.100000,9.764149,3351
2017-07-04,10.200000,10.200000,10.100000,10.200000,9.860824,3608
2017-07-05,10.100000,10.100000,10.000000,10.000000,9.667474,8935
2017-07-06,10.000000,10.100000,9.960000,9.960000,9.628804,695
2017-07-07,10.000000,10.100000,10.000000,10.100000,9.764149,11725
2017-07-10,10.200000,10.200000,10.000000,10.100000,9.764149,2786
2017-07-11,10.100000,10.200000,10.000000,10.100000,9.764149,7114
2017-07-12,10.200000,10.300000,10.000000,10.300000,9.957498,10917
2017-07-13,10.400000,10.400000,10.300000,10.300000,9.957498,3975
2017-07-14,10.000000,10.400000,10.000000,10.400000,10.054172,2462
2017-07-17,10.400000,10.500000,10.300000,10.400000,10.054172,11322
2017-07-18,10.400000,10.400000,10.200000,10.400000,10.054172,928
2017-07-19,10.400000,10.400000,10.200000,10.400000,10.054172,17821
2017-07-20,10.300000,10.400000,10.200000,10.400000,10.054172,2110
2017-07-21,10.300000,10.400000,10.300000,10.400000,10.054172,3128
2017-07-24,10.400000,10.500000,10.400000,10.400000,10.054172,8925
2017-07-25,10.400000,10.500000,10.400000,10.500000,10.150846,2060
2017-07-26,10.400000,10.400000,10.400000,10.400000,10.054172,5036
2017-07-27,10.400000,10.400000,10.300000,10.400000,10.054172,3860
2017-07-28,10.500000,10.500000,10.400000,10.500000,10.150846,9999
2017-07-31,10.500000,10.500000,10.400000,10.400000,10.054172,8886
2017-08-01,10.400000,10.500000,10.400000,10.500000,10.150846,792
2017-08-02,10.400000,10.500000,10.300000,10.300000,9.957498,8473
2017-08-03,10.400000,10.500000,10.300000,10.400000,10.054172,13102
2017-08-04,10.400000,10.500000,10.400000,10.500000,10.150846,809
2017-08-07,10.500000,10.600000,10.500000,10.500000,10.150846,4846
2017-08-08,10.500000,10.700000,10.500000,10.500000,10.150846,3929
2017-08-09,10.600000,10.800000,10.600000,10.700000,10.344196,2347
2017-08-10,10.700000,10.800000,10.700000,10.700000,10.344196,7217
2017-08-11,10.700000,10.800000,10.600000,10.800000,10.440871,4030
2017-08-14,10.800000,10.800000,10.700000,10.800000,10.440871,1233
2017-08-15,10.900000,10.900000,10.900000,10.900000,10.537546,265
2017-08-16,10.800000,11.000000,10.800000,11.000000,10.634221,5553
2017-08-17,11.100000,11.700000,11.100000,11.400000,11.020919,11795
2017-08-18,11.400000,11.400000,11.300000,11.400000,11.020919,3066
2017-08-21,11.400000,11.600000,11.400000,11.600000,11.214270,1832
2017-08-22,11.600000,11.700000,11.600000,11.600000,11.214270,4113
2017-08-23,11.500000,11.900000,11.500000,11.650000,11.262607,8809
2017-08-24,11.700000,11.800000,11.600000,11.800000,11.407619,7161
2017-08-25,11.800000,11.900000,11.700000,11.800000,11.407619,2880
2017-08-28,11.800000,11.800000,11.700000,11.700000,11.310944,2063
2017-08-29,11.800000,11.800000,11.500000,11.700000,11.310944,4965
2017-08-30,11.600000,11.700000,11.500000,11.500000,11.117595,1583
2017-08-31,11.700000,11.700000,11.600000,11.600000,11.214270,2105
2017-09-01,11.700000,11.700000,11.600000,11.700000,11.310944,1631
2017-09-04,11.700000,11.700000,11.400000,11.500000,11.117595,5498
2017-09-05,11.500000,11.700000,11.500000,11.700000,11.310944,2670
2017-09-06,11.700000,11.700000,11.600000,11.600000,11.214270,3673
2017-09-07,11.600000,11.700000,11.600000,11.700000,11.310944,3736
2017-09-08,11.700000,11.700000,11.400000,11.600000,11.214270,1193
2017-09-11,11.500000,11.500000,11.400000,11.500000,11.117595,4363
2017-09-12,11.400000,11.500000,11.400000,11.400000,11.020919,9291
2017-09-13,11.400000,11.500000,11.400000,11.400000,11.020919,17381
2017-09-14,11.500000,11.500000,11.400000,11.400000,11.020919,6063
2017-09-15,11.500000,11.500000,11.500000,11.500000,11.117595,157
